ID,electricity_consumption
cluster_1_2022-01-01,425.8200800000002
cluster_2_2022-01-01,615.8084699999999
cluster_3_2022-01-01,868.2418600000005
cluster_4_2022-01-01,1273.5783400000003
cluster_1_2022-01-02,385.04899000000006
cluster_2_2022-01-02,594.9958400000003
cluster_3_2022-01-02,834.7079300000005
cluster_4_2022-01-02,1210.0841300000006
cluster_1_2022-01-03,427.80217
cluster_2_2022-01-03,694.5270600000003
cluster_3_2022-01-03,863.0515500000002
cluster_4_2022-01-03,1287.02545
cluster_1_2022-01-04,456.0422299999998
cluster_2_2022-01-04,653.7712400000001
cluster_3_2022-01-04,870.4196800000001
cluster_4_2022-01-04,1260.3153800000007
cluster_1_2022-01-05,463.78098000000006
cluster_2_2022-01-05,707.8268899999997
cluster_3_2022-01-05,899.4035600000003
cluster_4_2022-01-05,1364.3253899999995
cluster_1_2022-01-06,479.4837999999998
cluster_2_2022-01-06,715.6413599999997
cluster_3_2022-01-06,901.5511099999998
cluster_4_2022-01-06,1269.0447499999993
cluster_1_2022-01-07,451.51953000000003
cluster_2_2022-01-07,684.9677899999999
cluster_3_2022-01-07,869.9127499999998
cluster_4_2022-01-07,1234.8116799999998
cluster_1_2022-01-08,408.94004
cluster_2_2022-01-08,586.2119300000002
cluster_3_2022-01-08,837.6334500000005
cluster_4_2022-01-08,1192.1227099999994
cluster_1_2022-01-09,409.44897
cluster_2_2022-01-09,571.47646
cluster_3_2022-01-09,809.8176600000003
cluster_4_2022-01-09,1172.7406100000005
cluster_1_2022-01-10,491.6240599999998
cluster_2_2022-01-10,676.24087
cluster_3_2022-01-10,910.8510699999993
cluster_4_2022-01-10,1339.8416899999997
cluster_1_2022-01-11,487.6775799999999
cluster_2_2022-01-11,764.3755699999995
cluster_3_2022-01-11,966.7647400000003
cluster_4_2022-01-11,1407.64154
cluster_1_2022-01-12,499.7644099999998
cluster_2_2022-01-12,744.9436699999999
cluster_3_2022-01-12,997.6072900000004
cluster_4_2022-01-12,1420.5007499999995
cluster_1_2022-01-13,495.39233
cluster_2_2022-01-13,758.0725500000001
cluster_3_2022-01-13,996.6418300000001
cluster_4_2022-01-13,1401.1399099999987
cluster_1_2022-01-14,494.3300200000001
cluster_2_2022-01-14,724.75631
cluster_3_2022-01-14,974.0039200000002
cluster_4_2022-01-14,1405.19954
cluster_1_2022-01-15,464.48663999999997
cluster_2_2022-01-15,662.6694600000001
cluster_3_2022-01-15,876.4091500000004
cluster_4_2022-01-15,1303.430510000001
cluster_1_2022-01-16,399.16243999999983
cluster_2_2022-01-16,654.8770300000003
cluster_3_2022-01-16,859.3576499999998
cluster_4_2022-01-16,1250.9798200000002
cluster_1_2022-01-17,498.0983599999996
cluster_2_2022-01-17,720.2526599999998
cluster_3_2022-01-17,901.5921699999993
cluster_4_2022-01-17,1335.75299
cluster_1_2022-01-18,498.7414199999995
cluster_2_2022-01-18,649.5766200000004
cluster_3_2022-01-18,976.3355500000005
cluster_4_2022-01-18,1399.369059999999
cluster_1_2022-01-19,489.22088999999977
cluster_2_2022-01-19,698.4004999999999
cluster_3_2022-01-19,924.6240299999997
cluster_4_2022-01-19,1311.66898
cluster_1_2022-01-20,482.25741
cluster_2_2022-01-20,699.68908
cluster_3_2022-01-20,909.7247500000003
cluster_4_2022-01-20,1302.451289999999
cluster_1_2022-01-21,473.03174999999993
cluster_2_2022-01-21,740.7300299999998
cluster_3_2022-01-21,941.0464500000003
cluster_4_2022-01-21,1336.753069999999
cluster_1_2022-01-22,444.54023000000007
cluster_2_2022-01-22,659.7256900000003
cluster_3_2022-01-22,847.2361100000003
cluster_4_2022-01-22,1246.6367799999996
cluster_1_2022-01-23,402.6596399999998
cluster_2_2022-01-23,639.2685100000003
cluster_3_2022-01-23,826.4125299999998
cluster_4_2022-01-23,1275.9343000000003
cluster_1_2022-01-24,490.57621000000006
cluster_2_2022-01-24,779.8532399999997
cluster_3_2022-01-24,1011.0233800000003
cluster_4_2022-01-24,1406.9509900000007
cluster_1_2022-01-25,483.17019
cluster_2_2022-01-25,732.4563599999996
cluster_3_2022-01-25,1006.8824200000004
cluster_4_2022-01-25,1408.1463499999986
cluster_1_2022-01-26,489.2061399999999
cluster_2_2022-01-26,728.0661299999998
cluster_3_2022-01-26,961.7107500000004
cluster_4_2022-01-26,1348.2360599999997
cluster_1_2022-01-27,475.6989899999999
cluster_2_2022-01-27,701.6397500000004
cluster_3_2022-01-27,955.4148700000002
cluster_4_2022-01-27,1315.8795899999996
cluster_1_2022-01-28,476.80358999999976
cluster_2_2022-01-28,746.6375399999996
cluster_3_2022-01-28,940.8280900000002
cluster_4_2022-01-28,1325.6670499999993
cluster_1_2022-01-29,424.5722899999999
cluster_2_2022-01-29,587.1094999999998
cluster_3_2022-01-29,845.5677500000006
cluster_4_2022-01-29,1226.1750899999997
cluster_1_2022-01-30,419.1089599999998
cluster_2_2022-01-30,638.0577400000002
cluster_3_2022-01-30,817.6810600000001
cluster_4_2022-01-30,1203.7836400000008
cluster_1_2022-01-31,425.37836999999985
cluster_2_2022-01-31,665.7742700000001
cluster_3_2022-01-31,897.4058700000002
cluster_4_2022-01-31,1241.9010799999996
cluster_1_2022-02-01,449.4158099999999
cluster_2_2022-02-01,670.33198
cluster_3_2022-02-01,849.0503099999999
cluster_4_2022-02-01,1303.04043
cluster_1_2022-02-02,433.0659699999999
cluster_2_2022-02-02,694.7687099999998
cluster_3_2022-02-02,844.6473
cluster_4_2022-02-02,1257.883559999999
cluster_1_2022-02-03,428.64507999999995
cluster_2_2022-02-03,695.3893299999999
cluster_3_2022-02-03,907.3017699999998
cluster_4_2022-02-03,1294.1006299999995
cluster_1_2022-02-04,463.02315999999985
cluster_2_2022-02-04,671.1029399999998
cluster_3_2022-02-04,868.8987500000004
cluster_4_2022-02-04,1238.2751299999995
cluster_1_2022-02-05,428.46776000000006
cluster_2_2022-02-05,614.69487
cluster_3_2022-02-05,809.5453200000001
cluster_4_2022-02-05,1235.5170500000006
cluster_1_2022-02-06,369.7550300000001
cluster_2_2022-02-06,572.9154600000003
cluster_3_2022-02-06,820.13078
cluster_4_2022-02-06,1150.8639799999999
cluster_1_2022-02-07,437.9337200000001
cluster_2_2022-02-07,627.2205199999997
cluster_3_2022-02-07,823.1774499999997
cluster_4_2022-02-07,1272.3787799999989
cluster_1_2022-02-08,484.8184099999998
cluster_2_2022-02-08,689.23239
cluster_3_2022-02-08,854.4926100000006
cluster_4_2022-02-08,1293.2353399999997
cluster_1_2022-02-09,460.67618000000004
cluster_2_2022-02-09,651.0076799999999
cluster_3_2022-02-09,849.3579400000007
cluster_4_2022-02-09,1263.8319700000002
cluster_1_2022-02-10,452.35
cluster_2_2022-02-10,655.25301
cluster_3_2022-02-10,893.4734200000006
cluster_4_2022-02-10,1346.2919499999998
cluster_1_2022-02-11,449.28662999999983
cluster_2_2022-02-11,722.9507599999998
cluster_3_2022-02-11,848.4293300000005
cluster_4_2022-02-11,1266.5015200000003
cluster_1_2022-02-12,424.50247000000024
cluster_2_2022-02-12,587.6503700000003
cluster_3_2022-02-12,856.2313900000003
cluster_4_2022-02-12,1239.1275400000006
cluster_1_2022-02-13,399.36632999999995
cluster_2_2022-02-13,598.6425300000001
cluster_3_2022-02-13,780.33071
cluster_4_2022-02-13,1097.0098200000007
cluster_1_2022-02-14,441.2614300000002
cluster_2_2022-02-14,641.0868099999996
cluster_3_2022-02-14,848.3318499999997
cluster_4_2022-02-14,1241.1682699999992
cluster_1_2022-02-15,435.85778999999997
cluster_2_2022-02-15,647.2870299999997
cluster_3_2022-02-15,852.23788
cluster_4_2022-02-15,1251.8553399999996
cluster_1_2022-02-16,436.1258599999998
cluster_2_2022-02-16,619.08253
cluster_3_2022-02-16,844.0969800000001
cluster_4_2022-02-16,1268.7900600000003
cluster_1_2022-02-17,435.80014000000006
cluster_2_2022-02-17,624.59511
cluster_3_2022-02-17,818.6312300000002
cluster_4_2022-02-17,1148.96958
cluster_1_2022-02-18,446.79987
cluster_2_2022-02-18,608.5625899999997
cluster_3_2022-02-18,829.3567500000005
cluster_4_2022-02-18,1202.48116
cluster_1_2022-02-19,444.0234199999999
cluster_2_2022-02-19,545.5086400000005
cluster_3_2022-02-19,727.1515199999999
cluster_4_2022-02-19,1093.8177299999993
cluster_1_2022-02-20,372.17599
cluster_2_2022-02-20,587.4120600000006
cluster_3_2022-02-20,701.8526199999999
cluster_4_2022-02-20,1189.4572100000003
cluster_1_2022-02-21,463.71098999999975
cluster_2_2022-02-21,562.0941100000001
cluster_3_2022-02-21,794.7663299999996
cluster_4_2022-02-21,1193.5764299999992
cluster_1_2022-02-22,450.6368199999997
cluster_2_2022-02-22,623.1387599999999
cluster_3_2022-02-22,794.6054799999994
cluster_4_2022-02-22,1203.669299999999
cluster_1_2022-02-23,452.95005
cluster_2_2022-02-23,648.7435999999999
cluster_3_2022-02-23,858.58354
cluster_4_2022-02-23,1235.6999400000002
cluster_1_2022-02-24,431.38496000000026
cluster_2_2022-02-24,617.0376799999996
cluster_3_2022-02-24,838.0604800000002
cluster_4_2022-02-24,1156.27892
cluster_1_2022-02-25,465.9564499999999
